Marca,Tamanho,Tecnologia,Tela,Entradas,Dominio,arquivo,title
" Marca Samsung Referência QN55Q80TAGXZD

Modelo 55Q80TA "," 55""
 "," QLED
 "," Resolução (Pixels) 3840 x 2160
 "," - 4 HDMI
- 2 USB
- 1 Ethernet (LAN)
- 1 Saída de Áudio Digital Óptica
- Entrada de RF ",Magazine Luiza,158.html,Smart TV 4K QLED 55” Samsung Q80TA Alexa Built In - Pontos Quânticos Modo Game Som em Movimento - Smart TV - Magazine Luiza
" Marca Samsung Referência UN58TU7020GXZD
 Modelo UN58TU7020GXZD "," 58"" ",Crystal UHD,Resolução (Pixels) 3840x2160 Formato da tela 16:9," - 2 entradas HDMI
- 1 entrada USB
- 1 entrada RF
- 1 saída óptica
 ",Magazine Luiza,160.html,Smart TV 4K Crystal UHD 58” Samsung UN58TU7020GXZD - Wi-Fi Bluetooth HDR10+ 2 HDMI 1 USB - Smart TV - Magazine Luiza
" Marca Samsung Referência QN65Q80TAGXZD

Modelo 65Q80TA "," 65""
 "," QLED
 "," Resolução (Pixels) 3840 x 2160
 "," - 4 HDMI
- 2 USB
- 1 Ethernet (LAN)
- 1 Saída de Áudio Digital Óptica
- Entrada de RF ",Magazine Luiza,181.html,Smart TV 4K QLED 65” Samsung 65Q80TA - Wi-Fi Bluetooth HDR 4 HDMI 2 USB - Smart TV - Magazine Luiza
Marca TCL Referência 65P8M Modelo 65P8M," 65"" ",LED,Resolução (Pixels) 3840x2160 Formato da tela 16:9 Ângulo de visão 178º Contraste 5000:1 Brilho 300m2," - 03 HDMI
- 02 USB
- Vídeo Composto
- RF ",Magazine Luiza,182.html,Smart TV 4K LED 65” TCL 65P8M Android Wi-Fi - Bluetooth HDR Inteligência Artificial 3 HDMI 2 USB - Smart TV - Magazine Luiza
Marca Philco Referência 99653007 Modelo PTV65F80SNS," 65"" ",LED,Resolução (Pixels) 3840x2160 Formato da tela 16:9 Ângulo de visão 170°(H) x 170°(V) Contraste 4.500.000:1 Brilho 330 cd/m²," - Entrada de vídeo e áudio estéreo (RCA)
- 03 Entradas HDMI
- Entrada RF para TV aberta (Digital e Analógica) e TV à cabo
- 02 Entradas USB 2.0: reproduz filmes, músicas e fotos
- Entrada RJ45 (Para uso no sistema GINGA da TV digital e/ou para recursos Smart TV) ",Magazine Luiza,200.html,Smart TV 4K LED 65” Philco PTV65F80SNS - Wi-Fi HDR 3 HDMI 2 USB - Smart TV - Magazine Luiza
Marca Samsung Referência UN65MU7000GXZD Modelo 65MU7000,65'',LED,Resolução (Pixels) 3840x2160 Contraste Mega Contraste," - 04 HDMI
- 03 USB
- 01 Componente (Y,Pb,Pr)
- 01 Composto (AV)
- 01 RF (terrestre/entrada de cabo) ",Magazine Luiza,201.html,Smart TV 4K LED 65” Samsung 65MU7000 Wi-Fi - HDR 4 HDMI 3 USB - Smart TV - Magazine Luiza
" Marca LG Referência 65NANO96
Modelo 65NANO96SNA "," 65"" ",LED,Resolução (Pixels) 7680x4320 Formato da tela 16:9," - 4 entradas HDMI
- 3 Entradas USB
- 1 Entrada RF
- 1 Saída Óptica ",Magazine Luiza,212.html,Combo Smart TV 8K NanoCell IPS 65” LG 65NANO96SNA - Wi-Fi Bluetooth + Smart TV UHD 4K LED IPS 43” - Smart TV - Magazine Luiza
" Marca LG Referência 65NANO96
Modelo 65NANO96SNA "," 65"" ",LED,Resolução (Pixels) 7680x4320 Formato da tela 16:9," - 4 entradas HDMI
- 3 Entradas USB
- 1 Entrada RF
- 1 Saída Óptica ",Magazine Luiza,220.html,Combo Smart TV 8K NanoCell IPS 65” LG 65NANO96SNA - Wi-Fi Bluetooth + Smart TV UHD 4K LED IPS 43” - Smart TV - Magazine Luiza
" Marca LG Referência 55US660H0SD.BWZ
 Modelo 55US660H0SD.BWZ Linha Hotel Pro: Centric "," 55"" ",LED," Resolução (Pixels) 3840 X 2160 Formato da tela 16:09 Ângulo de visão 178 x 178 Contraste 1.000.000:1 Brilho 400 cd/m2
 "," 3 HDMI, 2 USB, RS-232, Saída Áudio ",Magazine Luiza,225.html,Smart TV 4K LED IPS 55” LG Hotel Pro: Centric - 55US660H0SD.BWZ Wi-Fi Bluetooth 3 HDMI 2 USB - Smart TV - Magazine Luiza
Marca Samsung Referência UN55MU6400GXZD Modelo UN55MU6400GXZD," 55""
 ",LED," Resolução (Pixels) 3840x2160
 "," - 03 HDMI		
- 02 USB		
- 01 Entrada de Componente (Y, Pb, Pr)		
- 01 Entrada - Composto (AV - uso normal por componente Y)
- 01 Entrada de Rede
- 01 Entrada de RF 		 ",Magazine Luiza,229.html,Smart TV 4K LED 55” Samsung UN55MU6400GXZD - Wi-Fi 3 HDMI 2 USB - Smart TV - Magazine Luiza
" Marca AOC Referência 43S5195/78G
Modelo 43S5195/78G "," 43"" "," LED
 "," Resolução (Pixels) 1920x1080 Formato da tela 16:9 Ângulo de visão 178°
Brilho min 180
 Vida útil do painel 30000 hs
 "," - 03 HDMI
- 01 USB,
- 01 Vídeo composto
- 01 Vídeo componente
- 01 Saída fone de ouvido
- 01 SPDIF
- 01 RJ-45
 ",Magazine Luiza,250.html,Smart TV Full HD LED 43” AOC 43S5195/78G - Wi-Fi 3 HDMI 1 USB - Smart TV - Magazine Luiza
" Marca TCL Referência 43S6500
 Modelo 43S6500 "," 43"" ",LED," Resolução (Pixels) 1920x1080 Formato da tela 16:9 Ângulo de visão 178º
 Contraste 3000:1
 Brilho 250 Cd/M2
 Vida útil do painel 30.000 horas
 "," - 1 Porta LAN
- 2 HDMI
- 1 USB
- 1 Entrada Vídeo componente
- 1 Entrada de áudio estéreo/mono
- 1 Entrada ANT/CABLE ",Magazine Luiza,251.html,Smart TV LED 43” TCL 43S6500 Full HD - Android Wi-Fi 2 HDMI 1 USB - Smart TV - Magazine Luiza
" Marca LG Referência 43LM6300PSB
 Modelo 43LM6300PSB "," 43"" ",LED," Resolução (Pixels) 1920x1080 Contraste 1200 Brilho 270
 "," - 03 Entradas HDMI
- 02 Entradas USB
- 01 Entrada RF para TV aberta/TV a Cabo
- 01 Entrada AV/vídeo componente
- 01 Entrada LAN RJ45 ",Magazine Luiza,253.html,Smart TV LED 43” LG 43LM6300PSB Full HD Wi-Fi - Inteligência Artificial 3 HDMI 2 USB - Smart TV - Magazine Luiza
" Marca Samsung Referência UN43T5300AGXZD
 Modelo 43T5300A "," 43""
 "," LED
 "," Resolução (Pixels) 1920x1080
 Formato da tela Widescreen "," - 2 Entradas HDMI
- 1 Entrada USB
- Ethernet (LAN)
- Saída de Áudio Digital (Óptica)
- Entrada de RF (terrestre/entrada de cabo)
 ",Magazine Luiza,254.html,Smart TV Full HD LED 43” Samsung 43T5300A - Wi-Fi HDR 2 HDMI 1 USB - Smart TV - Magazine Luiza
Marca Sony Referência XBR-70X835F Modelo XBR-70X835F Linha XBR X835F Series," 70"" ",LED,Resolução (Pixels) 3840x2160 Formato da tela 16:9 Ângulo de visão 178 (89/89)," - 02 Entrada RF 
- Entrada de vídeo composto 
- 04 Entradas HDMI 4 (1 lateral, 3 traseiras) 
- 02 Entradas de áudio analógico 
- 03 USB ",Magazine Luiza,255.html,Smart TV 4K LED 70” Sony XBR-70X835F Android - Wi-Fi HDR 4 HDMI 3 USB - Smart TV - Magazine Luiza
" Marca AOC Referência 32S5195/78G
 Modelo 32S5195/78G "," 32"" "," LED
 "," Resolução (Pixels) 1366x768 Formato da tela 16:9 Ângulo de visão 178°
 Vida útil do painel 30000h
 "," - 3 HDMI
- 1 USB
- 1 Vídeo composto
- 1 Vídeo componente
- 1 Saída fone de ouvido
- 1 RJ-45
 ",Magazine Luiza,271.html,Smart TV HD LED 32” AOC 32S5195/78G - Wi-Fi 3 HDMI 1 USB - Smart TV - Magazine Luiza
" Marca LG Referência 32LM625BPSB
 Modelo 32LM625BPSB "," 32"" ",LED," Contraste 1200 Brilho 216
 "," - 03 Entradas HDMI
- 02 Entradas USB
- 01 Entrada RF para TV aberta/TV a Cabo
- 01 Entrada AV/vídeo componente
- 01 Entrada LAN RJ45 ",Magazine Luiza,276.html,Smart TV HD LED 32” LG 32LM625BPSB Wi-Fi Bluetooth - HDR Inteligência Artificial 3 HDMI 2 USB - Smart TV - Magazine Luiza
" Marca Samsung Referência QN65Q80TAGXZD

Modelo 65Q80TA "," 65""
 "," QLED
 "," Resolução (Pixels) 3840 x 2160
 "," - 4 HDMI
- 2 USB
- 1 Ethernet (LAN)
- 1 Saída de Áudio Digital Óptica
- Entrada de RF ",Magazine Luiza,280.html,Smart TV 4K QLED 65” Samsung 65Q80TA - Wi-Fi Bluetooth HDR 4 HDMI 2 USB - Smart TV - Magazine Luiza
Marca TCL Referência 65P8M Modelo 65P8M," 65"" ",LED,Resolução (Pixels) 3840x2160 Formato da tela 16:9 Ângulo de visão 178º Contraste 5000:1 Brilho 300m2," - 03 HDMI
- 02 USB
- Vídeo Composto
- RF ",Magazine Luiza,281.html,Smart TV 4K LED 65” TCL 65P8M Android Wi-Fi - Bluetooth HDR Inteligência Artificial 3 HDMI 2 USB - Smart TV - Magazine Luiza
Marca Philco Referência 99653007 Modelo PTV65F80SNS," 65"" ",LED,Resolução (Pixels) 3840x2160 Formato da tela 16:9 Ângulo de visão 170°(H) x 170°(V) Contraste 4.500.000:1 Brilho 330 cd/m²," - Entrada de vídeo e áudio estéreo (RCA)
- 03 Entradas HDMI
- Entrada RF para TV aberta (Digital e Analógica) e TV à cabo
- 02 Entradas USB 2.0: reproduz filmes, músicas e fotos
- Entrada RJ45 (Para uso no sistema GINGA da TV digital e/ou para recursos Smart TV) ",Magazine Luiza,284.html,Smart TV 4K LED 65” Philco PTV65F80SNS - Wi-Fi HDR 3 HDMI 2 USB - Smart TV - Magazine Luiza
Marca Samsung Referência UN65MU7000GXZD Modelo 65MU7000,65'',LED,Resolução (Pixels) 3840x2160 Contraste Mega Contraste," - 04 HDMI
- 03 USB
- 01 Componente (Y,Pb,Pr)
- 01 Composto (AV)
- 01 RF (terrestre/entrada de cabo) ",Magazine Luiza,285.html,Smart TV 4K LED 65” Samsung 65MU7000 Wi-Fi - HDR 4 HDMI 3 USB - Smart TV - Magazine Luiza
Marca Sony Referência XBR-65X905E Modelo XBR-65X905E," 65"" ",LED," Resolução (Pixels) 3840 x 2160 Formato da tela Widescreen - 16:9 Contraste - X-tended Dynamic Range™ PRO
- Object-based HDR remaster
- Dynamic Contrast Enhancer Brilho XDR "," - 04 HDMI
- 03 USB
- 01 Ethernet 
- 02 RF
- 01 CATV
- 01 Vídeo componente
- 02 Vídeo composto ",Magazine Luiza,314.html,Smart TV LED 65” Sony 4K/Ultra HD XBR-65X905E - Android Conversor Digital Wi-Fi 4 HDMI 3 USB - Smart TV - Magazine Luiza
Marca LG Referência OLED55B7P Modelo OLED55B7P," 55"" ",OLED," Resolução (Pixels) 3840 x 2160 Formato da tela Widescreen 16:9 Contraste Infinito: Antes impossível para qualquer TV, a tecnologia de pixels que se auto iluminam entrega um contraste infinito, gerando imagens mais nítidas e sem nenhum vazamento de luz. Acredite, você não assistiu TV até ver o que a LG OLED TV é capaz de mostrar "," 4 HDMI
3 USB 
1 entrada RF para TV aberta - 1 entrada RF para TV a Cabo - 1 entrada AV/vídeo componente - 1 entrada LAN RJ45 ",Magazine Luiza,402.html,Smart TV 4K OLED 55” LG OLED55B7P Full HD - Wi-Fi HDR Conversor Digital 4 HDMI 3 USB - Smart TV - Magazine Luiza
" Marca LG Referência 43UM7300PSA
Modelo 43UM7300PSA "," 43""
"," LED 
 ",Resolução (Pixels) 3840x2160," - 03 entradas HDMI 2.0
- 02 entradas USB
- 01 entrada RF para TV aberta
- 01 entrada RF para TV a Cabo
- 01 entrada AV/vídeo componente
- 01 saída digital óptica
- 01 entrada LAN RJ45
",Magazine Luiza,404.html,Combo Smart TV 4K OLED 55” LG OLED55C9PSA Wi-Fi - HDR Inteligência Artificial e Smart TV 4K LED 43” - Smart TV - Magazine Luiza
" Marca LG Referência 43UM7300PSA
Modelo 43UM7300PSA "," 43""
"," LED 
 ",Resolução (Pixels) 3840x2160," - 03 entradas HDMI 2.0
- 02 entradas USB
- 01 entrada RF para TV aberta
- 01 entrada RF para TV a Cabo
- 01 entrada AV/vídeo componente
- 01 saída digital óptica
- 01 entrada LAN RJ45
",Magazine Luiza,411.html,Smart TV 4K OLED 55” LG OLED55B8SSC Wi-Fi - HDR Inteligência Artificial e Smart TV 4K LED 43” - Smart TV - Magazine Luiza
" Marca LG Referência 43UM7300PSA
Modelo 43UM7300PSA "," 43""
"," LED 
 ",Resolução (Pixels) 3840x2160," - 03 entradas HDMI 2.0
- 02 entradas USB
- 01 entrada RF para TV aberta
- 01 entrada RF para TV a Cabo
- 01 entrada AV/vídeo componente
- 01 saída digital óptica
- 01 entrada LAN RJ45
",Magazine Luiza,416.html,Smart TV 4K OLED 55” LG OLED55B9PSB Wi-Fi - HDR Inteligência Artificial + Smart TV 4K LED 43” - Smart TV - Magazine Luiza
" Marca Samsung Referência QN75Q800TAGXZD
Modelo 75Q800TA "," 75"" ",QLED," Resolução (Pixels) 7680 x 4320
 "," - HDMI: 4 
- USB: 2 
- Entrada composto (AV): 1 
- Ethernet (LAN): Sim 
- Saída de Áudio Digital (Óptica): 1 
 ",Magazine Luiza,468.html,Smart TV 8K QLED 75” Samsung 75Q800TA - Wi-Fi Bluetooth +Smart TV Crystal UHD 4K LED 50” - Smart TV - Magazine Luiza
" Marca Samsung Referência QN75Q800TAGXZD
Modelo 75Q800TA "," 75"" ",QLED," Resolução (Pixels) 7680 x 4320
 "," - HDMI: 4 
- USB: 2 
- Entrada composto (AV): 1 
- Ethernet (LAN): Sim 
- Saída de Áudio Digital (Óptica): 1 
 ",Magazine Luiza,469.html,Smart TV 8K QLED 75” Samsung 75Q800TA - Wi-Fi Bluetooth +Smart TV Crystal UHD 4K LED 50” - Smart TV - Magazine Luiza
" Marca LG Referência 75NANO95
 Modelo 75NANO95SNA "," 75"" ",LED,Resolução (Pixels) 7680x4320 Formato da tela 16:9," - 4 entradas HDMI
- 3 Entradas USB
- 1 Entrada RF
- 1 Saída Óptica ",Magazine Luiza,472.html,Combo Smart TV 8K NanoCell IPS 75” LG 75NANO95SNA - Wi-Fi Bluetooth + Smart TV UHD 4K LED 50” - Smart TV - Magazine Luiza
" Marca LG Referência 75NANO95
 Modelo 75NANO95SNA "," 75"" ",LED,Resolução (Pixels) 7680x4320 Formato da tela 16:9," - 4 entradas HDMI
- 3 Entradas USB
- 1 Entrada RF
- 1 Saída Óptica ",Magazine Luiza,475.html,Combo Smart TV 8K NanoCell IPS 75” LG 75NANO95SNA - Wi-Fi Bluetooth + Smart TV UHD 4K LED 50” - Smart TV - Magazine Luiza
" Marca Samsung Referência QN55LS03TAGXZD
 Modelo QN55LS03TAGXZD "," 55"" "," LED
 ",Resolução (Pixels) 3840x2160 Formato da tela 16:9," - 4 Entradas HDMI
- 2 Entradas USB
- 1 Entrada de Vídeo Composto
- 1 Entrada RF
- 1 Saída de Áudio Óptica
- 1 Entrada LAN ",Magazine Luiza,501.html,Smart TV 4K QLED 55” Samsung The Frame Wi-Fi - Bluetooth + Smart TV LED 32” Wi-Fi HDR - Smart TV - Magazine Luiza
Marca Samsung Referência QN55Q7FNAGXZD Modelo Q7FN," 55"" ",QLED,Resolução (Pixels) 3840x2160 Contraste Mega Contraste," - 04 Entradas HDMI
- 03 Entradas USB
- 01 Entrada de Componente (Y,Pb,Pr)
- Entrada de Composto (AV)
- Ethernet (LAN)
- Entrada de RF (terrestre/entrada de cabo)
- HDMI A / Return Ch. Support 
- HDMI Quick Switch 
 ",Magazine Luiza,502.html,Smart TV QLED 55” Samsung 4K/Ultra HD Q7FN - Tizen Modo Ambiente Linha 2018 - Smart TV - Magazine Luiza
" Marca Samsung Referência QN55LS03TAGXZD
 Modelo QN55LS03TAGXZD "," 55"" "," LED
 ",Resolução (Pixels) 3840x2160 Formato da tela 16:9," - 4 Entradas HDMI
- 2 Entradas USB
- 1 Entrada de Vídeo Composto
- 1 Entrada RF
- 1 Saída de Áudio Óptica
- 1 Entrada LAN ",Magazine Luiza,508.html,Smart TV 4K QLED 55” Samsung The Frame Wi-Fi - Bluetooth + Smart TV LED 32” Wi-Fi HDR - Smart TV - Magazine Luiza
Marca Samsung Referência QN55Q7FNAGXZD Modelo Q7FN," 55"" ",QLED,Resolução (Pixels) 3840x2160 Contraste Mega Contraste," - 04 Entradas HDMI
- 03 Entradas USB
- 01 Entrada de Componente (Y,Pb,Pr)
- Entrada de Composto (AV)
- Ethernet (LAN)
- Entrada de RF (terrestre/entrada de cabo)
- HDMI A / Return Ch. Support 
- HDMI Quick Switch 
 ",Magazine Luiza,509.html,Smart TV QLED 55” Samsung 4K/Ultra HD Q7FN - Tizen Modo Ambiente Linha 2018 - Smart TV - Magazine Luiza
Marca Samsung Referência QN55Q6FNAGXZD Modelo Q6FN," 55"" ",QLED,Resolução (Pixels) 3840x2160 Contraste Mega Contraste," - 04 Entradas HDMI
- 02 Entradas USB
- 01 Entrada de Componente (Y,Pb,Pr)
- Entrada de Composto (AV)
- Ethernet (LAN)
- Entrada de RF (terrestre/entrada de cabo)
- HDMI A / Return Ch. Support
- HDMI Quick Switch
- Wi-Fi integrado
 ",Magazine Luiza,544.html,Smart TV QLED 55” Samsung 4K/Ultra HD Q6FN - Tizen Modo Ambiente Linha 2018 - Smart TV - Magazine Luiza
Marca Samsung Referência QN65Q6FNAGXZD Modelo Q6FN," 65"" ",QLED,Resolução (Pixels) 3840x2160 Contraste Mega Contraste," - 04 Entradas HDMI
- 02 Entradas USB
- 01 Entrada de Componente (Y,Pb,Pr)
- Entrada de Composto (AV)
- Ethernet (LAN)
- 01 Saída de Áudio Digital (Óptica)
- Entrada de RF (terrestre/entrada de cabo)
- HDMI A / Return Ch. Support
- HDMI Quick Switch
 ",Magazine Luiza,545.html,Smart TV QLED 65” Samsung 4K/Ultra HD Q6FN - Tizen Modo Ambiente Linha 2018 - Smart TV - Magazine Luiza
Marca Samsung Referência UN65KS9000GXZD Modelo 65KS9000," 65"" ",LED," Resolução (Pixels) 3840x2160 Contraste A Samsung utiliza o mais alto padrão de brilho e contraste, como as maiores produções cinematográficas. A tecnologia HDR 1000 é capaz de reproduzir uma gama muito superior de brilho e contraste, exibindo detalhes que estavam escondidos em cenas com muita ou pouca luminosidade. Independentemente da iluminação da sua sala, a TV vai garantir a melhor qualidade de imagem Brilho A Samsung utiliza o mais alto padrão de brilho e contraste, como as maiores produções cinematográficas. A tecnologia HDR 1000 é capaz de reproduzir uma gama muito superior de brilho e contraste, exibindo detalhes que estavam escondidos em cenas com muita ou pouca luminosidade. Independentemente da iluminação da sua sala, a TV vai garantir a melhor qualidade de imagem "," - 04 HDMI
- 03 USB
- 01 Rede ",Magazine Luiza,547.html,Smart TV LED Curva 65” Samsung 4K Ultra HD - SUHD 65KS9000 Conversosr Digital 4 HDMI 3 USB - Smart TV - Magazine Luiza
Marca Samsung Referência UN50KU6000GXZD Modelo 50KU6000," 50"" ",LED,Resolução (Pixels) 3840x2160," - 03 HDMI
- 02 USB
- 01 Rede ",Magazine Luiza,549.html,Smart TV LED 50” Samsung 4K/Ultra HD 50KU6000 - Conversor Digital Wi-Fi 3 HDMI 2 USB - Smart TV - Magazine Luiza
Marca Samsung Referência QN49Q6FNAGXZD Modelo QN49Q6FNAGXZD," 49"" ",QLED,Resolução (Pixels) 3840x2160 Formato da tela 16:9 Contraste Mega Contraste," - 04 HDMI
- 02 USB
- 01 Entrada de Componente (Y,Pb,Pr)
- 01 Entrada de Composto (AV)
- Ethernet (LAN)
- Saída de Áudio Digital (Óptica)
- Entrada de RF (terrestre/entrada de cabo)
- HDMI A / Return Ch. Support
- HDMI Quick Switch
- Anynet+ (HDMI-CEC) ",Magazine Luiza,581.html,Smart TV QLED 49” Samsung 4K/Ultra HD - QN49Q6FNAGXZD Tizen Modo Ambiente Linha 2018 - Smart TV - Magazine Luiza
Marca Samsung Referência QN65Q7FAMGXZD Modelo 65Q7FAM,65'',QLED,Resolução (Pixels) 3840x2160 Contraste Mega Contraste," - 04 HDMI
- 03 USB
- 01 Componente (Y,Pb,Pr)
- 01 Composto (AV)
- 01 RF (terrestre/entrada de cabo) ",Magazine Luiza,637.html,Smart TV QLED 65” Samsung 4K/Ultra HD 65Q7FAM - Conversor Digital Wi-Fi 4 HDMI 3 USB - Smart TV - Magazine Luiza
Marca LG Referência 55SM9000PSA Modelo 55SM9000PSA,55'',NanoCell," Formato da tela Widescreen 16:9 Contraste 1600 Brilho 450 Cd/m²
 "," - 04 entradas HDMI 2.1
- 03 entradas USB
- 01 entrada RF para TV aberta
- 01 entrada RF para TV por assinatura
- 01 entrada AV/vídeo componente
- 01 entrada LAN RJ45 ",Magazine Luiza,921.html,Smart TV 4K NanoCell 55” + Smart TV HD LED 32” LG - Wi-Fi Inteligência Artificial Controle Smart Magic - Smart TV - Magazine Luiza
